και	c e
παραπονιόμουν	p a r a p o ɲ ò m u n
παραπονιόταν	p a r a p o ɲ ò t a n
παρασκευ-	p a r a s c e v -
παραστρατισανε	p a r a s t r a t i s a n e
παρατήσαμε	p a r a t ì s a m e
παρεες	p a r e e s
παρεκάλεσε	p a r e k à l e s e
παρεμεινα	p a r e m i n a
παρθούνε	p a r θ ù n e
παρκαρωπηγαμε	p a r k a r o p i ɣ a m e
παρλα	p a r l a
παροικια	p a r i c a
παροικιακα	p a r i c a k a
παροιμια	p a r i m i/j a
παροτι	p a r o t i
παρουσιαστηκα	p a r u s i/j a s t i k a
παρουσιαστηξα	p a r u s i/j a s t i k s a
πασίγνωστοι	p a s ì ɣ n o s t i
πασει	p a s i
πασιέντζες	p a s i è d z e s
πατήσανε	p a t ì s a n e
παταργια	p a t a r ʝ a
πατερά	p a t e r à
πατεράς	p a t e r à s
πατερατο	p a t e r a t o
πατησα	p a t i s a
πατο-	p a t o -
πατραγυρισαν	p a t r a ʝ i r i s a n
πατρικη	p a t r i c i
πατριωτες	p a t r i/j o t e s
πατρον	p a t r o n
πατρονάρανε	p a t r o n à r a n e
πατροπαραδοτα	p a t r o p a r a ð o t a
πατωμα	p a t o m a
παυλο	p a v l o
παφ	p a f
παωναι	p a o n e
παύσαμε	p à f s a m e
πεδιλα	p e ð i l a
πεθαινεις	p e θ e n i s
πεθαναν	p e θ a n a n
πεθανεμονος	p e θ a n e m o n o s
πεθανειο	p e θ a n i o
πεθερος	p e θ e r o s
πεθυμάω	p e θ i m à o
πειδυο	p i ð i o
πειναγε	p i n a ʝ e
πειντινγκ	p i d i ŋ g
πειράξετε	p i r à k s e t e
πειραζεετσι	p i r a z e e t s i
πειραι	p i r e
πειραιά-αθήνα	p i r e à - a θ ì n a
πειραξε	p i r a k s e
πειρσσότερες	p i r s ò t e r e s
πεις…	p i s …
πει…	p i s …
πελάται	p e l à t e
πελοπονησσου	p e l o p o i s u
πελοποννησου	p e l o p o n i s u
πενη-	p e n i -
πενηντάρηδες	p e n i d à r i ð e s
πενι	p e n i
πεντάχρονου	p e d à x r o n u
πεντακόσα	p e d a k ò s a
πεντε-εξι	p e d e - e k s i
πεπερόνια	p e p e r ò ɲ a
πεπρωμενο	p e p r o m e n o
περάστου	p e r à s t u
περέλη	p e r è l i
περίμεναλέγανε	p e r ì m e n a l è ɣ a n e
περίπουω	p e r ì p u o
περίφανος	p e r ì f a n o s
περαένα	p e r a è n a
περαβλεπεις	p e r a v l e p i s
περαηρθε	p e r a i r θ e
περακαθαριζε	p e r a k a θ a r i z e
περαλεω	p e r a l e o
περαμηπως	p e r a m i p o s
περαοι	p e r a i
περαδουλευε	p e r a ð u l e v e
περαποσομειναμε	p e r a p o s o m i n a m e
περαμο	p e r a m o
περασουμε	p e r a s u m e
περαστικο	p e r a s t i k o
περαστου	p e r a s t u
περγαιναμε	p e r ʝ e n a m e
περιβάλλον…μας	p e r i v à l o n … m a s
περιθωριο	p e r i θ o r i/j o
περιλήψει	p e r i l ì p s i
περιμέντε	p e r i m è d e
περιμεναν	p e r i m e n a n
περιοδευον	p e r i/j o ð e v o n
περιοδεύουν	p e r i/j o ð è v u n
περιοδοςκαταφεραμε	p e r i/j o ð o k a t a f e r a m e
περιορισμενες	p e r i/j o r i z m e n e s
περιοχηνα	p e r i/j o ç i n a
περιπετεια	p e r i p e t i a
περιποιηθη-	p e r i p i i θ i -
περιπουεταξιδεψα	p e r i p u e t a k s i ð e p s a
περιπτωσει	p e r i p t o s i
περισοτερες	p e r i s o t e r e s
περισσσό-	p e r i s s ò -
περισσό-	p e r i s ò -
περισσότεραδεν	p e r i s ò t e r a ð e n
περιφερειαναι	p e r i f e r i a n e
περνάγαν	p e r n à ɣ a n
περναγαμε	p e r n a ɣ a m e
περνιεστε	p e r ɲ e s t e
περνουσαμεν	p e r n u s a m e n
περνουσες	p e r n u s e s
περνούσεςτίποτα	p e r n ù s e s t ì p o t a
περοναδες	p e r o n a ð e s
περπαταμε	p e r p a t a m e
περπατημα	p e r p a t i m a
περπατησιές	p e r p a t i s ç è s
περπατησω	p e r p a t i s o
περσι	p e r s i
περσυ	p e r s i
περ…μας	p e r s … m a s
πετάξαν	p e t à k s a n
πεταμενα	p e t a m e n a
πετρα	p e t r a
πετρελαιαφυσικα	p e t r e l e a f i s i k a
πετρελεταιρεια	p e t r e l e t e r i a
πετροπαύλης	p e t r o p a ì l i s
πηαι	p i e
πηγάιναμε	p i ɣ à i n a m e
πηγαεπρεπε	p i ɣ a e p r e p e
πηγαίναμε…	p i ʝ è n a m e …
πηγαίναν…πηγαίναν	p i ʝ è n a n s … p i ʝ è n a n
πηγαδι	p i ɣ a ð i
πηγαιν	p i ʝ e n
πηγαινανε	p i ʝ e n a n e
πηγαινεαυτος	p i ʝ e n e a f t o s
πηγαινεςαλλα	p i ʝ e n e a l a
πηγαινοντας	p i ʝ e n o d a s
πηγαινουνε	p i ʝ e n u n e
πηγμένο	p i ɣ m è n o
πηδήσεις	p i ð ì s i s
πηραμε	p i r a m e
πηρατε	p i r a t e
πι-	p i -
πιπιέστηκαμε	p i p ç è s t i k a m e
πιέζανε	p ç è z a n e
πιέστηκαμε	p ç è s t i k a m e
πια-	p i/j a -
πιαναμε	p i/j a n a m e
πιανουνε	p i/j a n u n e
πιασανε	p i/j a s a n e
πιασουμε	p i/j a s u m e
πιαταπως	p i/j a t a p o s
πιατια	p i/j a t i/j a
πια…με	p i/j a … m e
πιθαμή	p i θ a m ì
πικ-νικ	p i k - n i k
πιλοτος	p i l o t o s
πινανε	p i n a n e
πινουμε	p i n u m e
πινω	p i n o
πιούνε	p ç ù n e
πιρεά	p i r e à
πις	p i s
πιστευε	p i s t e v e
πιστευωθα	p i s t e v o θ a
πιστεψεις	p i s t e p s i s
πιστοποιητικο	p i s t o p i i t i k o
πισωο	p i s o o
πιτσα	p i t s a
πιτσιρικας	p i t s i r i k a s
πιτσού	p i t s ù
πλέκω	p l è k o
πλέον…	p l è o n …
πλαι	p l e
πλακωσαν	p l a k o s a n
πλακώσανε	p l a k ò s a n e
πλανηταριοαν	p l a n i t a r i/j o a n
πλαστικά…	p l a s t i k à s …
πλατων	p l a t o n
πλειστον	p l i s t o n
πλενεις	p l e n i s
πλερώνω	p l e r ò n o
πληθυσμός…ο	p l i θ i z m ò s … o
πλημμυρίζαν	p l i m i r ì z a n
πληροφορήσεις	p l i r o f o r ì s i s
πληρωθείς	p l i r o θ ì s
πληρωμενο	p l i r o m e n o
πληρωναν	p l i r o n a n
πληρωνομασταν	p l i r o n o m a s t a n
πληρωνομουνα	p l i r o n o m u n a
πληρωνοτανε	p l i r o n o t a n e
πληρωνόμασταν	p l i r o n ò m a s t a n
πληρωνόσαστε	p l i r o n ò s a s t e
πληρωνότανε	p l i r o n ò t a n e
πληρωσε	p l i r o s e
πληρωτέα	p l i r o t è a
πληρών	p l i r ò n
πλησιασε	p l i s i/j a s e
πλουσιο	p l u s i/j o
πλουσιος	p l u s i/j o s
πλουσιόπαιδο	p l u s ç ò p e ð o
πλουτίσεις	p l u t ì s i s
πλυθούμε	p l i θ ù m e
πλυνωότι	p l i n o ò t i
πο'χει	p o ' ç i
πο-	p o -
ποδή	p o ð ì
ποδήτελικώς	p o ð ì t e l i k ò s
ποδηλάτο	p o ð i l à t o
ποδι-	p o ð i -
ποιο-	p ç o -
ποιονμε	p ç o m e
πολίτηςπολίτης	p o l ì t i s p o l ì t i s
πολεμήσανε	p o l e m ì s a n e
πολιορκησει	p o ʎ o r c i s i
πολιτειαo	p o l i t i a o
πολιτιστικο	p o l i t i s t i k o
πολλααυτό	p o l a a f t ò
πολλεςεφτιαξαν	p o l e e f t i/j a k s a n
πολλοιεβραιοιειχαμε	p o l i e v r e i i x a m e
πολυδούλεψα	p o l i ð ù l e p s a
πολυθρονα	p o l i θ r o n a
πολυκατοικ-	p o l i k a t i c -
πολυμεταχειρίζομαι	p o l i m e t a ç i r ì z o m e
πολυσκέφτηκα	p o l i s c è f t i k a
πολυτελεστατοκαινουργιο	p o l i t e l e s t a t o c e n u r ʝ o
πολωνέζικα	p o l o n è z i k a
πολωνια	p o l o n i a
πολωνοι	p o l o n i
πολύso	p o l ì o
πολύδιαφορετικος	p o l ì ð i/j a f o r e t i k o s
πολύπολύ	p o l ì p o l ì
πολύκαι	p o l ì c e
πολύφωτο	p o l ì f o t o
πολύ…πιο	p o l ì s … p i/j o
ποναγε	p o n a ʝ e
πονεσε	p o n e s e
ποντικια	p o d i c a
ποπό	p o p ò
πορεσουμε	p o r e s u m e
πορταγελια	p o r t a ʝ e ʎ a
πορτογκέζε	p o r t o g è z e
ποστάλι	p o s t à l i
ποτά-	p o t à -
ποτετο	p o t e t o
ποτηρια	p o t i r i/j a
ποτο	p o t o
ποτυρι	p o t i r i
που'κανα	p u ' k a n a
που'πιασα	p u ' p i/j a s a
που'χα	p u ' x a
που'χε	p u ' ç e
πουπουκαμισού	p u p u k a m i s ù
πουεσον	p u e s o n
πουθενάπουθενά	p u θ e n à p u θ e n à
πουκαμισού	p u k a m i s ù
πουλάν	p u l à n
πουλήσαμε…το	p u l ì s a m e … t o
πουλαγα	p u l a ɣ a
πουλαγανε	p u l a ɣ a n e
πουλακιαετσι	p u l a c a e t s i
πουλησε	p u l i s e
πουλησουμε	p u l i s u m e
πουλοπουλος	p u l o p u l o s
πουλουσανε	p u l u s a n e
πουλούσαμε	p u l ù s a m e
πουλύ	p u l ì
πουμεε	p u m e e
πουμετο	p u m e t o
πουμετου	p u m e t u
πουπε	p u p e
πουναι	p u n e
που…εμείς	p u s … e m ì s
πούθε	p ù θ e
πούμκαι	p ù c e
πούμεσε	p ù m e s e
πούμεγιατί	p ù m e ʝ a t ì
πούμς	p ù m s
πο…	p o …
πράγμα-κάποιος	p r à ɣ m a - k à p ç o s
πράγματανα	p r à ɣ m a t a n a
πράμ-	p r à -
πράματά	p r à m a t à
πράμα…	p r à m a s …
πρέσες	p r è s e s
πραγματικά…	p r a ɣ m a t i k à s …
πραματ	p r a m a t
πραματαη	p r a m a t a i
πραματακια	p r a m a t a c a
πρασσά	p r a s à
πρεσβυτόρα	p r e s v i t ò r a
πριγκιπα	p r i ɟ i p a
πρινο	p r i n o
πρισκιπέσσα	p r i s c i p è s a
πρισλειτα	p r i z l i t a
προs…της	p r o s … t i s
προαίσθηση	p r o è s θ i s i
προαγωγη	p r o a ɣ o ʝ i
προβινσιαλ	p r o v i n s i/j a l
προβισιαλ	p r o v i s i/j a l
προβληματιζει	p r o v l i m a t i z i
προγραμματισμενο	p r o ɣ r a m a t i z m e n o
προεδρίες	p r o e ð r ì e s
προεδροτον	p r o e ð r o t o n
προεκυψε	p r o e c i p s e
προετοιμάσουνε	p r o e t i m à s u n e
προηγουμε	p r o i ɣ u m e
προθεσεως	p r o θ e o s
προικα	p r i k a
προικισω	p r i c i s o
προμηθευτει	p r o m i θ e f t i
προξένους	p r o k s è n u s
προξενια	p r o k s e ɲ a
προξενος	p r o k s e n o s
προο	p r o o
προοπτικες	p r o o p t i c e s
προπαντος	p r o p a d o s
προσανατολίζομαι	p r o s a n a t o l ì z o m e
προσανατολιστώ	p r o s a n a t o l i s t ò
προσαρμοζομαι	p r o s a r m o z o m e
προσαρμοστηκαμε	p r o s a r m o s t i k a m e
προσβολη	p r o s v o l i
προσελάνες	p r o s e l à n e s
προσελανες	p r o s e l a n e s
προσεξε	p r o s e k s e
προσεχανε	p r o s e x a n e
προσεχουν	p r o s e x u n
προσκαλουν	p r o s k a l u n
προσκυνάνε	p r o s c i n à n e
προσλαβει	p r o z l a v i
προσλαμβανονται	p r o z l a m v a n o d e
προσληφθει	p r o z l i f θ i
προσπα-	p r o s p a -
προσπαθάω	p r o s p a θ à o
προσπαθήσανε	p r o s p a θ ì s a n e
προσπαθουσα	p r o s p a θ u s a
προσπαθούνε	p r o s p a θ ù n e
προσφατη	p r o s f a t i
προσφερε	p r o s f e r e
προσφερεται	p r o s f e r e t e
προσφεροταν	p r o s f e r o t a n
προσφερω	p r o s f e r o
προσωπικοηταν	p r o s o p i k o i t a n
προσ…	p r o s …
προτίμησανο	p r o t ì m i s a n o
προτεινευπηρχε	p r o t i n e i p i r ç e
προτερημα	p r o t e r i m a
προτερηματα	p r o t e r i m a t a
προτζεκτ	p r o t z e k t
προτιμουσαμε	p r o t i m u s a m e
προτούόταν	p r o t ù ò t a n
προυχονταγια	p r u x o d a ʝ a
προφαντός	p r o f a d ò s
προφθαίνει	p r o f θ è n i
προφορικο	p r o f o r i k o
προχθε	p r o x θ e
προχωραγες	p r o x o r a ʝ e s
προχωρημενη	p r o x o r i m e n i
προχωρησουμε	p r o x o r i s u m e
προχώραγα	p r o x ò r a ɣ a
προωθούσανε	p r o o θ ù s a n e
προόδευσε	p r o ò ð e f s e
προύχοντα	p r ù x o d a
πρυτανης	p r i t a n i s
πρωινημπροστινη	p r o i n i b r o s t i n i
πρωκατέβηκα	p r o k a t è v i k a
πρωταεφυγα	p r o t a e f i ɣ a
πρωτευουσα	p r o t e v u s a
πρωτοάρχισε	p r o t o à r ç i s e
πρωτοέφτασα	p r o t o è f t a s a
πρωτοήρθαμε	p r o t o ì r θ a m e
πρωτογνωριστήκαμε	p r o t o ɣ n o r i s t ì k a m e
πρωτοψάλτης	p r o t o p s à l t i s
πρωτόρθαμε	p r o t ò r θ a m e
πρόβλημαδεν	p r ò v l i m a ð e n
πρόδωνες	p r ò ð o n e s
πρόοοδο	p r ò o o ð o
πρόσφατη-πρόσφατη	p r ò s f a t i - p r ò s f a t i
πρώ-	p r ò -
πρώτον…πρώτον	p r ò t o n s … p r ò t o n
πρ…	p r …
πυβολησει	p i v o l i s i
πυλία	p i l ì a
πυροβολησει	p i r o v o l i s i
πωδεν	p o ð e n
πωο	p o o
πωτο	p o t o
πωπερασαμε	p o p e r a s a m e
πω…όχι	p o … ò ç i
πόπο	p ò p o
πόρτ	p ò r t
πόσ	p ò s
πότιζα	p ò t i z a
π…	p …
ράδιοείχαμε	r à ð i/j o ì x a m e
ράφτρα	r à f t r a
ρέσον	r è s o n
ρέστοραντ	r è s t o r a d
ρίξουμετο	r ì k s u m e t o
ραδια	r a ð i/j a
ραμμένα	r a m è n a
ραντεβου	r a d e v u
ραφάκι	r a f à c i
ραφείο	r a f ì o
ρεσο	r e s o
ρεστοραντ	r e s t o r a d
ρετουρ	r e t u r
ρεφιουτζίς	r e f i/j u t z ì s
ρθειςθα	r θ i s θ a
ριβερ	r i v e r
ριζανά	r i z a n à
ριζώσουν	r i z ò s u n
ριο	r i o
ροβερτιου	r o v e r t i/j u
ροδες	r o ð e s
ροζαλία…τότε	r o z a l ì a s … t ò t e
ρολνα	r o l n a
ροσασανα	r o s a s a n a
ρουμα…τη	r u m a s … t i
ρουμελιωτες	r u m e ʎ o t e s
ρυθμο	r i θ m o
ρωσιας	r o s i/j a s
ρωτάγανε	r o t à ɣ a n e
ρωτησανε	r o t i s a n e
ρωτησετε	r o t i s e t e
ρωτιούνται	r o t ç ù d e
ρωτούσατε	r o t ù s a t e
ρω…	r o s …
ρώταγαν	r ò t a ɣ a n
σ'έκανε	' è k a n e
σ'αρεσει	' a r e s i
σ'αυτό	' a f t ò
σ'εκείνο	' e c ì n o
σ'το	' t o
σ'όλα	' ò l a
σ'όλο	' ò l o
σοτιδήποτε	s o t i ð ì p o t e
σόποιο	s ò p ç o
σά…	s à …
σέλινα	s è l i n a
σέντσα	s è d s a
σέρβιρε	s è r v i r e
σέρμπο	s è r b o
σέφουε	s è f u e
σίσι	s ì s i
σαββά-	s a v v à -
σαββατα	s a v v a t a
σαββατοκυριακα	s a v v a t o c i r i/j a k a
σαββατοκύριακ	s a v v a t o c ì r i/j a k
σαββατοκύριακ…ε…	s a v v a t o c ì r i/j a k … e …
σαιενσις	s e e n s i s
σαλατραπεζαρια	s a l a t r a p e z a r i/j a
σαμαριάς	s a m a r ʝ à s
σανγκλερ	s a ŋ g l e r
σαντακαθ	s a d a k a θ
σαντορίνη…	s a d o r ì n i s …
σαντουιτς	s a d u i t s
σαν…	s a n s …
σαπιοκαραβο	s a p i/j o k a r a v o
σαρακάκη	s a r a k à c i
σαραντάρης	s a r a d à r i s
σαρανταοχτώ	s a r a d a o x t ò
σαρανταπεντε	s a r a d a p e d e
σασκατούν	s a s k a t ù n
σατ	s a t
σα…	s a …
σβάρνα-σβάρνα	s v à r n a - s v à r n a
σβήσαμε	s v ì s a m e
σβεν	s v e n
σγχωριανούς	z ɣ x o r i/j a n ù s
σεπαραλιακό	s e p a r a ʎ a k ò
σεβεν	s e v e n
σεβεται	s e v e t e
σεβόμουνα	s e v ò m u n a
σεικοσι	s i k o s i
σεις…	i s …
σεισμος	s i z m o s
σελμεν	s e l m e n
σεντονι	s e d o n i
σεντσ	s e d s
σεντόνινα	s e d ò n i n a
σεπτέ-	s e p t è -
σεπτεμβρηενας	s e p t e m v r i e n a s
σεπτεμβριοτον	s e p t e m v r i/j o t o n
σερβίραν	s e r v ì r a n
σερβίριζα	s e r v ì r i z a
σερβίτσια	s e r v ì t s i/j a
σερβιραν	s e r v i r a n
σερβιτορα	s e r v i t o r a
σερβιτορος	s e r v i t o r o s
σερρες	s e r e s
σερτιφικαν	s e r t i f i k a n
σεφγουεις	s e f g u i s
σηκωθήκαν	s i k o θ ì k a n
σηκωθω	s i k o θ o
σηκωνομαι	s i k o n o m e
σηκωνω	s i k o n o
σηκωνόμουνα	s i k o n ò m u n a
σηκώνετ'	s i k ò n e t '
σηκώσαμε	s i k ò s a m e
σημαντικοσημαντικη	s i m a d i k o s i m a d i c i
σημασιαμου	s i m a s i/j a m u
σημερατελος	s i m e r a t e l o s
σημερασυγνωμη	s i m e r a s i ɣ n o m i
σιγ	s i ɣ
σιδέρωνα	s i ð è r o n a
σιδερώστρα	s i ð e r ò s t r a
σιδνει	s i ð n i
σιερα	s i e r a
σιλι	s i l i
σινεμας	s i n e m a s
σιοπς	s i o p s
σιρά	s i r à
σιργιάνι	s i r ʝ à n i
σιταρι	s i t a r i
σιτιζενς	s i t i z e n s
σιφνο	s i f n o
σκάβανε	s k à v a n e
σκέδιο	s c è ð i/j o
σκέφτηλα	s c è f t i l a
σκαβανε	s k a v a n e
σκαλες	s k a l e s
σκανδινεβιαν	s k a n ð i n e v i/j a n
σκαρμπουρο	s k a r b u r o
σκασανε	s k a s a n e
σκαστος	s k a s t o s
σκε-	s c e -
σκεπασμένοδεν	s c e p a z m è n o ð e n
σκεφτήκανε	s c e f t ì k a n e
σκεφτουμε	s c e f t u m e
σκιαθο	s c a θ o
σκλαβενίτης	s k l a v e n ì t i s
σκλαβενιτης	s k l a v e n i t i s
σκληροτερο	s k l i r o t e r o
σκολεία	s k o l ì a
σκονη	s k o n i
σκορπίσαμε…	s k o r p ì s a m e …
σκορπαει	s k o r p a i
σκορπιστήκαμε	s k o r p i s t ì k a m e
σκοσια	s k o s i/j a
σκοτεινο	s k o t i n o
σκοτωθήκαν	s k o t o θ ì k a n
σκοτωμος	s k o t o m o s
σκοτωνομουν	s k o t o n o m u n
σκοτωσαν	s k o t o s a n
σκοτώναν	s k o t ò n a n
σκουεαρ	s k u e a r
σκουπιζω	s k u p i z o
σκούπιζα	s k ù p i z a
σκούτερη	s k ù t e r i
σκυριανό	s c i r i/j a n ò
σκωλεικοειδιτιδα	s k o l i k o i ð i t i ð a
σκωτσέζοι	s k o t s è z i
σκόνησήκωνα	s k ò n i s ì k o n a
σκόσια	s k ò s i/j a
σμυρνης	i r n i s
σοκαρει	s o k a r i
σοου	o u
σορτ	s o r t
σοσιαλ	s o s i/j a l
σουαρκει	s u a r c i
σουβλα	s u v l a
σουλας	s u l a s
σου…	s u s …
σοφιάς	s o f ç à s
σούλας	s ù l a s
σπάζαν	s p à z a n
σπα-	s p a -
σπαγγέτια	s p a ɟ è t i/j a
σπασουν	s p a s u n
σπαστα	s p a s t a
σπαταλάνε	s p a t a l à n e
σπεσιαλιστας	s p e s i/j a l i s t a s
σπετσεςαρα	s p e t s e s a r a
σπιτάκιδεν	s p i t à c i ð e n
σπιτιμικρες	s p i t i m i k r e s
σπιτιφυγανε	s p i t i f i ɣ a n e
σπιτιακαθομασταν	s p i t i/j a k a θ o m a s t a n
σπουδάζαμε	s p u ð à z a m e
σπουδαζε	s p u ð a z e
σπουδαιατο	s p u ð e a t o
σπουδαξα	s p u ð a k s a
σπουδασαν	s p u ð a s a n
σπουδασω	s p u ð a s o
σπούδαγε	s p ù ð a ʝ e
σπούδαξε	s p ù ð a k s e
σπ…	s p …
στ'	s t '
στ-	s t -
στά-	s t à -
στέλενει	s t è l e n i
στέλναν	s t è l n a n
σταπου	s t a p u
σταθηκαν	s t a θ i k a n
σταθμου	s t a θ m u
σταμάταγα	s t a m à t a ɣ a
σταμάτησανε	s t a m à t i s a n e
σταμά…	s t a m à …
σταμαει	s t a m a i
σταματάκος	s t a m a t à k o s
σταματήσαμε…	s t a m a t ì s a m e …
σταματησε	s t a m a t i s e
σταματουσαν	s t a m a t u s a n
σταματούσανε	s t a m a t ù s a n e
στασιδια	s t a s i ð i/j a
στα…	s t a s …
στα…στα	s t a s … s t a
στείλ'τους	s t ì l ' t u s
στειλαν	s t i l a n
στελνουμε	s t e l n u m e
στενα	s t e n a
στεναχωρεθήκαμε	s t e n a x o r e θ ì k a m e
στεναχωριες	s t e n a x o r i/j e s
στενοχωρήθηκαν	s t e n o x o r ì θ i k a n
στενοχωρειενω	s t e n o x o r i e n o
στενοχωρηθεί	s t e n o x o r i θ ì
στενοχωρησεμε	s t e n o x o r i s e m e
στενοχωριομουνα	s t e n o x o r i o m u n a
στενο…πήγαινε	s t e n o s … p ì ʝ e n e
στερέωμαάρχισα	s t e r è o m a à r ç i s a
στερουτο	s t e r u t o
στεσιον	s t e s i/j o n
στεφανωθηκαμε	s t e f a n o θ i k a m e
στεφανωσει	s t e f a n o s i
στεφανώθηκε	s t e f a n ò θ i c e
στη---	s t i - - -
στην-	s t i n -
στην…	s t i n …
στηριζουν	s t i r i z u n
στηριξε	s t i r i k s e
στη…στο	s t i … s t o
στις-	s t i s -
στις…απρίλη	s t i s … a p r ì l i
στο---	s t o - - -
στομετά	s t o m e t à
στοκαι	s t o c e
στοστην	s t o s t i n
στοστον	s t o s t o n
στοιχιζουν	s t i ç i z u n
στολιές	s t o ʎ è s
στολισμενο	s t o l i z m e n o
στομαχιδεν	s t o m a ç ð e n
στον…	s t o n …
στορς	s t o r s
στοτ	s t o t
στού	s t ù
στο…κατεβαίνανε	s t o s … k a t e v è n a n e
στρίκαρα	s t r ì k a r a
στρατευμένους	s t r a t e v m è n u s
στρατηγοςότι	s t r a t i ɣ o s ò t i
στρατιωτης	s t r a t i/j o t i s
στρατιωτικοι	s t r a t i/j o t i c i
στρατολογικό	s t r a t o l o ʝ i k ò
στρωσουν	s t r o s u n
στρώσανε	s t r ò s a n e
στόνειρό	s t ò n i r ò
στ…	s t …
συγγενεια	s i ɟ e n i a
συγκεντρωναν	s i ɟ e d r o n a n
συγκεντρώνανται	s i ɟ e d r ò n a d e
συγκοινωνια	s i ɟ i n o ɲ a
συγκρατούσα	s i g r a t ù s a
συγνωμησυγνωμη	s i ɣ n o m i s i ɣ n o m i
συγχρονες	s i ɣ x r o n e s
συγχωρεμένο	s i ɣ x o r e m è n o
συγχωρεσει	s i ɣ x o r e s i
συγχωριεται	s i ɣ x o r i/j e t e
συγύρισα	s i ʝ ì r i s a
συζυγος	s i z i ɣ o s
συλλάβανε	s i l à v a n e
συλλήψειςνα…να	s i l ì p s i e s … n a
συλλαβή…	s i l a v ì …
συλλαβες	s i l a v e s
συλλογοι	s i l o ʝ i
συλλογους	s i l o ɣ u s
συμβουλιοπροεδρος	s i m v u ʎ o p r o e ð r o s
συμμαθήτριές	s i m a θ ì t r ʝ è s
συμμαθητρια	s i m a θ i t r i/j a
συμμετειχε	s i m e t i ç e
συμμετεχω	s i m e t e x o
συμπέθερος	s i b è θ e r o s
συμπεθεροι	s i b e θ e r i
συμπεθερός	s i b e θ e r ò s
συμπεριλαβω	s i b e r i l a v o
συμπεριφερότανε	s i b e r i f e r ò t a n e
συμπληρώσανε	s i b l i r ò s a n e
συμφοι-	s i m f i -
συμφων-	s i m f o n -
συνέχισεν	s i n è ç i s e n
συνήθειες…	s i n ì θ i e s …
συναδέλφοι	s i n a ð è l f i
συναδέρφους	s i n a ð è r f u s
συναδελφουςτους	s i n a ð e l f u s t u s
συναιτεροι	s i n e t e r i
συναλλαγες	s i n a l a ʝ e s
συναναστρέφεσαι	s i n a n a s t r è f e s e
συναναστροφη	s i n a n a s t r o f i
συναντηθηκαμε	s i n a d i θ i k a m e
συναντιομασταν	s i n a d i o m a s t a n
συνδεθούνε	s i n ð e θ ù n e
συνε-	s i n e -
συνεβη	s i n e v i
συνεννογιέσαι	s i n e n o ʝ è s e
συνεννογιουνται	s i n e n o ʝ u d e
συνεννογιόμαστε	s i n e n o ʝ ò m a s t e
συνεννοείσαι	s i n e n o ì s e
συνεννοηθείςναι	s i n e n o i θ ì n e
συνεννοηθείτεδεν	s i n e n o i θ ì t e ð e n
συνεργαζομουν	s i n e r ɣ a z o m u n
συνεργαστω	s i n e r ɣ a s t o
συνεργατισσα	s i n e r ɣ a t i s a
συνεστραφεί	s i n e s t r a f ì
συνεταιριστηκα	s i n e t e r i s t i k a
συνεταιρος	s i n e t e r o s
συνεχίσαν	s i n e ç ì s a n
συνεχιζα	s i n e ç i z a
συνεχιζω	s i n e ç i z o
συνεχισαμε	s i n e ç i s a m e
συνεχισουμε	s i n e ç i s u m e
συνεχόμενος	s i n e x ò m e n o s
συνη-	s i n i -
συνηθίσμένα	s i n i θ ì z m è n a
συνηθειες	s i n i θ i e s
συνηθιζονταιολα	s i n i θ i z o d e o l a
συνηθισαμε	s i n i θ i s a m e
συνηθισμενα	s i n i θ i z m e n a
συννενογιόμουνα	s i n e n o ʝ ò m u n a
συννυφάδα	s i n i f à ð a
συνοδευσω	s i n o ð e f s o
συνοδηγο	s i n o ð i ɣ o
συνολικο	s i n o l i k o
συνομίληκους	s i n o m ì l i k u s
συνοννογιέσαι	s i n o n o ʝ è s e
συνταξηδεν	s i d a k s i ð e n
συνταξιουχου	s i d a k s i u x u
συντηρηθούμε	s i d i r i θ ù m e
συντηρησω	s i d i r i s o
συντηρητης	s i d i r i t i s
συνυφάδα	s i n i f à ð a
συριανού	s i r i/j a n ù
συρματακια	s i r m a t a c a
συρτό	s i r t ò
συστήναν	s i s t ì n a n
συστήσουμε	s i s t ì s u m e
συστηθώ	s i s t i θ ò
συστηναν	s i s t i n a n
συχνατα	s i x n a t a
συχωρεμένο	s i x o r e m è n o
συχωρεμενη	s i x o r e m e n i
σφάζανε	s f à z a n e
σφίξαν	s f ì k s a n
σφαλμα	s f a l m a
σφυραει	s f i r a i
σφύριζε	s f ì r i z e
σχε-	s ç e -
σχεδιαστήριο	s ç e ð i/j a s t ì r i/j o
σχεδιαστης	s ç e ð i/j a s t i s
σχεδόν…	s ç e ð ò n …
σχολείογιατί	s x o l ì o ʝ a t ì
σχολείοτότε	s x o l ì o t ò t e
σχολείοείναι	s x o l ì o ì n e
σχολείος	s x o l ì o s
σχολειοηταν	s x o l i o i t a n
σχολειοθα	s x o l i o θ a
σχολειοπηγαινανε	s x o l i o p i ʝ e n a n e
σχολειοτρεις	s x o l i o t r i s
σχολειοκαι	s x o l i o c e
σχοληαυτή	s x o l i a f t ì
σχολικης	s x o l i c i s
σχο…μια	s x o s … m i/j a
σχο…μια…	s x o s … m i/j a …
σχωρέστονη	s x o r è s t o n i
σχωριανούς	s x o r i/j a n ù s
σωθήκανε	s o θ ì k a n e
σωκρατη	s o k r a t i
σωληνα	s o l i n a
